ID,per,age,OR,DES,Tstarta,Tstopa
2,1952.415,0,H,A,0,28
2,1980.415,28,A,C,28,31
2,1983.414,30.998,C,cens,31,46.167
8,1958.833,0,H,C,0,15.583
8,1974.414,15.581,C,M,15.583,16.583
8,1975.414,16.581,M,K,16.583,16.917
8,1975.748,16.915,K,cens,16.917,39.417
24,1967.666,0,H,C,0,15.917
24,1983.581,15.915,C,K,15.917,18.917
24,1986.581,18.915,K,cens,18.917,30.5
28,1956,0,H,M,0,22.167
28,1978.162,22.162,M,C,22.167,26.417
28,1982.414,26.414,C,K,26.417,32.75
28,1988.749,32.749,K,cens,32.75,42.25
34,1965.666,0,H,A,0,18.917
34,1984.582,18.916,A,C,18.917,26.333
34,1992,26.334,C,A,26.333,30.083
34,1995.748,30.082,A,cens,30.083,32.5
43,1950.666,0,H,K,0,19.25
43,1969.915,19.249,K,cens,19.25,47.5
52,1974.496,0,H,A,0,18.583
52,1993.085,18.589,A,cens,18.583,23.917
82,1957.329,0,H,A,0,23.667
82,1981,23.671,A,C,23.667,26.167
82,1983.496,26.167,C,M,26.167,27
82,1984.331,27.002,M,cens,27,41
96,1960,0,H,A,0,26.083
96,1986.085,26.085,A,C,26.083,26.417
96,1986.414,26.414,C,A,26.417,32.5
96,1992.497,32.497,A,C,32.5,33.917
96,1993.915,33.915,C,K,33.917,34.917
96,1994.915,34.915,K,cens,34.917,38.417
99,1971.748,0,H,A,0,18.917
99,1990.666,18.918,A,C,18.917,20.25
99,1992,20.252,C,cens,20.25,26.583
102,1972.833,0,H,A,0,17.25
102,1990.085,17.252,A,cens,17.25,25.333
113,1959.162,0,H,C,0,19.25
113,1978.414,19.252,C,M,19.25,20.333
113,1979.496,20.334,M,K,20.333,22.583
113,1981.748,22.586,K,cens,22.583,39.083
133,1975.162,0,H,K,0,16
133,1991.162,16,K,cens,16,23.083
148,1951.666,0,H,A,0,18.083
148,1969.748,18.082,A,C,18.083,24.083
148,1975.748,24.082,C,M,24.083,26.083
148,1977.748,26.082,M,K,26.083,26.417
148,1978.085,26.419,K,cens,26.417,46.75
149,1972.582,0,H,A,0,18.25
149,1990.833,18.251,A,C,18.25,24
149,1996.582,24,C,cens,24,25.75
155,1970.666,0,H,C,0,19.75
155,1990.414,19.748,C,K,19.75,20.75
155,1991.414,20.748,K,cens,20.75,27.583
167,1963.329,0,H,C,0,20.833
167,1984.164,20.835,C,K,20.833,22.583
167,1985.915,22.586,K,cens,22.583,35
175,1961.162,0,H,C,0,24.833
175,1986,24.838,C,M,24.833,28.083
175,1989.247,28.085,M,K,28.083,29.167
175,1990.329,29.167,K,cens,29.167,37
181,1951.581,0,H,A,0,25
181,1976.582,25.001,A,M,25,28
181,1979.581,28,M,K,28,28.75
181,1980.331,28.75,K,cens,28.75,46.583
185,1965.414,0,H,M,0,23.417
185,1988.833,23.42,M,K,23.417,28.583
185,1994,28.586,K,cens,28.583,32.917
197,1948.497,0,H,M,0,20.917
197,1969.414,20.916,M,K,20.917,21.667
197,1970.162,21.664,K,cens,21.667,49.917
206,1950.915,0,H,A,0,23.667
206,1974.581,23.666,A,C,23.667,25.667
206,1976.582,25.667,C,M,25.667,27.583
206,1978.496,27.581,M,cens,27.583,47.333
212,1979,0,H,cens,0,19.25
222,1967.581,0,H,C,0,22.083
222,1989.666,22.085,C,M,22.083,25
222,1992.582,25.001,M,K,25,29.083
222,1996.667,29.086,K,cens,29.083,30.833
232,1976,0,H,C,0,19.167
232,1995.162,19.162,C,A,19.167,21.333
232,1997.329,21.329,A,cens,21.333,22.333
234,1975.915,0,H,cens,0,22.5
236,1965.915,0,H,C,0,20.833
236,1986.748,20.833,C,A,20.833,21.417
236,1987.329,21.414,A,C,21.417,22
236,1987.915,22,C,M,22,22.667
236,1988.582,22.667,M,K,22.667,23
236,1988.915,23,K,cens,23,32.333
266,1955.833,0,H,M,0,18.5
266,1974.329,18.496,M,K,18.5,19.583
266,1975.414,19.581,K,cens,19.583,42.583
274,1958.496,0,H,M,0,23.667
274,1982.162,23.666,M,K,23.667,27.583
274,1986.085,27.589,K,cens,27.583,39.833
282,1977.414,0,H,cens,0,21
283,1959,0,H,M,0,21.333
283,1980.331,21.331,M,K,21.333,25.583
283,1984.582,25.582,K,cens,25.583,39.167
287,1975.085,0,H,C,0,22.667
287,1997.748,22.663,C,cens,22.667,23.167
289,1945.247,0,H,M,0,22.083
289,1967.329,22.082,M,K,22.083,23.75
289,1969,23.753,K,cens,23.75,53.167
293,1962.915,0,H,C,0,20
293,1982.915,20,C,M,20,26.25
293,1989.162,26.247,M,K,26.25,27.083
293,1990,27.085,K,cens,27.083,35.5
302,1955.329,0,H,M,0,24.167
302,1979.496,24.167,M,K,24.167,25.667
302,1981,25.671,K,cens,25.667,43.083
316,1963.915,0,H,M,0,16.167
316,1980.085,16.17,M,A,16.167,18.167
316,1982.085,18.17,A,C,18.167,20.5
316,1984.415,20.5,C,K,20.5,21
316,1984.915,21,K,cens,21,34.25
341,1966.247,0,H,C,0,19.083
341,1985.329,19.082,C,M,19.083,24.083
341,1990.329,24.082,M,K,24.083,27.25
341,1993.496,27.249,K,cens,27.25,31.917
351,1945.833,0,H,M,0,24.083
351,1969.915,24.082,M,K,24.083,27.167
351,1973,27.167,K,cens,27.167,52.333
369,1971.329,0,H,A,0,19.917
369,1991.247,19.918,A,C,19.917,22.083
369,1993.414,22.085,C,C,22.083,23.083
369,1994.414,23.085,C,M,23.083,25.083
369,1996.415,25.087,M,cens,25.083,27.083
374,1967.247,0,H,A,0,19.833
374,1987.085,19.838,A,C,19.833,20.417
374,1987.666,20.419,C,M,20.417,28.417
374,1995.666,28.419,M,K,28.417,28.833
374,1996.085,28.838,K,cens,28.833,31
418,1946.915,0,H,M,0,19.417
418,1966.329,19.414,M,K,19.417,20.917
418,1967.833,20.918,K,cens,20.917,51.417
426,1960.415,0,H,M,0,21.667
426,1982.085,21.67,M,K,21.667,24.5
426,1984.915,24.5,K,cens,24.5,38
433,1951.666,0,H,M,0,20.083
433,1971.748,20.082,M,K,20.083,20.5
433,1972.164,20.498,K,cens,20.5,46.75
451,1964.164,0,H,C,0,15.917
451,1980.085,15.921,C,A,15.917,19.167
451,1983.329,19.165,A,C,19.167,22.417
451,1986.581,22.417,C,M,22.417,23.167
451,1987.329,23.165,M,cens,23.167,34.25
458,1947.414,0,H,M,0,21.333
458,1968.749,21.335,M,K,21.333,22.5
458,1969.915,22.501,K,cens,22.5,50.917
466,1976.249,0,H,cens,0,22
469,1978.162,0,H,cens,0,20.25
491,1961.414,0,H,C,0,21.5
491,1982.915,21.501,C,M,21.5,22.917
491,1984.331,22.917,M,K,22.917,24.25
491,1985.666,24.252,K,cens,24.25,36.917
499,1948.833,0,H,A,0,20.167
499,1969,20.167,A,M,20.167,22.75
499,1971.581,22.747,M,K,22.75,25.667
499,1974.496,25.663,K,cens,25.667,49.333
501,1977.162,0,H,cens,0,21.25
512,1958.833,0,H,A,0,17.833
512,1976.667,17.834,A,M,17.833,21.083
512,1979.915,21.082,M,K,21.083,22.5
512,1981.329,22.496,K,cens,22.5,39.583
514,1956.164,0,H,A,0,17.917
514,1974.085,17.921,A,C,17.917,21.083
514,1977.247,21.083,C,M,21.083,23.5
514,1979.666,23.502,M,K,23.5,28.167
514,1984.331,28.167,K,cens,28.167,42.25
519,1954.414,0,H,M,0,21.083
519,1975.496,21.082,M,K,21.083,26.417
519,1980.833,26.42,K,cens,26.417,43.75
540,1952,0,H,M,0,18.917
540,1970.915,18.915,M,K,18.917,22.417
540,1974.414,22.414,K,cens,22.417,46.333
543,1978.915,0,H,cens,0,19.5
550,1957.414,0,H,C,0,24.333
550,1981.748,24.334,C,cens,24.333,40.75
558,1969.247,0,H,C,0,19
558,1988.249,19.002,C,A,19,20.25
558,1989.496,20.249,K,cens,20.25,29
559,1970.085,0,H,C,0,22.167
559,1992.249,22.164,C,M,22.167,24.25
559,1994.329,24.244,M,K,24.25,26.083
559,1996.164,26.079,K,cens,26.083,28.167
569,1950.414,0,H,M,0,20.333
569,1970.748,20.334,M,K,20.333,21.417
569,1971.833,21.419,K,cens,21.417,47.833
573,1969.915,0,H,A,0,21.5
573,1991.414,21.499,A,M,21.5,23.333
573,1993.247,23.332,M,K,23.333,25.417
573,1995.329,25.414,K,cens,25.417,28.25
589,1953.915,0,H,M,0,19.417
589,1973.329,19.414,M,K,19.417,22.5
589,1976.415,22.5,K,cens,22.5,44.333
597,1979,0,H,cens,0,19.417
643,1961.329,0,H,C,0,20.667
643,1982,20.671,C,M,20.667,23.5
643,1984.833,23.505,M,K,23.5,24.583
643,1985.915,24.586,K,cens,24.583,37.083
647,1961.247,0,H,C,0,17.167
647,1978.414,17.167,C,A,17.167,18.167
647,1979.414,18.167,A,C,18.167,20.083
647,1981.329,20.082,C,M,20.083,22.333
647,1983.581,22.334,M,K,22.333,28
647,1989.247,28,K,cens,28,37
661,1961.329,0,H,A,0,24.917
661,1986.247,24.918,A,C,24.917,32.083
661,1993.414,32.085,C,A,32.083,34.917
661,1996.249,34.92,A,cens,34.917,37.083
669,1971.666,0,H,C,0,24.5
669,1996.164,24.498,C,cens,24.5,26.5
670,1975.581,0,H,cens,0,22.583
672,1974.085,0,H,C,0,22.333
